metacountry;metacountry_label;country;start_precision;start;end_precision;end;;;;
Metastate_Q954;Зимбабве;Q654342;2;1.01.1953;2;1.01.1963;;;;
Metastate_Q954;Зимбабве;Q217169;2;1.01.1965;2;1.01.1979;;;;
Metastate_Q954;Зимбабве;Q890120;2;1.01.1979;2;1.01.1979;;;;
Metastate_Q954;Зимбабве;Q954;2;1.01.1980;;по наст. время;;;;
Metastate_Q889;Афганистан;Q467627;2;1.01.1747;2;1.01.1826;;;;
Metastate_Q889;Афганистан;Q1335260;2;1.01.1823;2;1.01.1926;;;;
Metastate_Q889;Афганистан;Q1138904;2;1.01.1926;2;1.01.1973;;;;
Metastate_Q889;Афганистан;Q1415128;2;1.01.1973;2;1.01.1978;;;;
Metastate_Q889;Афганистан;Q476757;2;1.01.1978;2;1.01.1992;;;;
Metastate_Q889;Афганистан;Q1415585;2;1.01.1992;2;1.01.2001;;;;
Metastate_Q889;Афганистан;Q427941;2;1.01.1996;2;1.01.2001;;;;
Metastate_Q889;Афганистан;Q4689073;2;1.01.2001;2;1.01.2002;;;;
Metastate_Q889;Афганистан;Q4689103;2;1.01.2002;2;1.01.2004;;;;
Metastate_Q889;Афганистан;Q889;2;1.01.2004;;по наст. время;;;;
Metastate_Q398;Бахрейн;Q8680;2;1.01.1783;2;1.01.1971;;;;
Metastate_Q398;Бахрейн;Q16826607;2;1.01.1971;2;1.01.2002;;;;
Metastate_Q398;Бахрейн;Q398;2;1.01.2002;;по наст. время;;;;
Metastate_Q902;Бангладеш;Q2001966;2;1.01.1757;2;1.01.1858;;;;
Metastate_Q902;Бангладеш;Q129286;2;1.01.1858;2;1.01.1947;;;;
Metastate_Q902;Бангладеш;Q2006542;2;1.01.1947;2;1.01.1956;;;;
Metastate_Q902;Бангладеш;Q842931;2;1.01.1956;2;1.01.1971;;;;
Metastate_Q902;Бангладеш;Q902;2;1.01.1971;;по наст. время;;;;
Metastate_Q917;Бутан;Q917;2;1.01.1907;;по наст. время;;;;
Metastate_Q921;Бруней;Q887803;4;1.01.601;2;1.01.1888;;;;
Metastate_Q921;Бруней;Q1147441;2;1.01.1888;2;1.01.1984;;;;
Metastate_Q921;Бруней;Q921;2;1.01.1984;;по наст. время;;;;
Metastate_Q424;Камбоджа;Q1057118;2;1.01.550;2;1.01.802;;;;
Metastate_Q424;Камбоджа;Q201705;2;1.01.802;2;1.01.1431;;;;
Metastate_Q424;Камбоджа;Q4919413;2;1.01.1431;2;1.01.1863;;;;
Metastate_Q424;Камбоджа;Q1155700;2;1.01.1782;2;1.01.1867;;;;
Metastate_Q424;Камбоджа;Q3173090;2;1.01.1863;2;1.01.1953;;;;
Metastate_Q424;Камбоджа;Q185682;2;1.01.1887;2;1.01.1946;;;;
Metastate_Q424;Камбоджа;QQ2638486;2;1.01.1953;2;1.01.1970;;;;
Metastate_Q424;Камбоджа;Q1054184;2;1.01.1970;2;1.01.1975;;;;
Metastate_Q424;Камбоджа;Q330988;2;1.01.1975;2;1.01.1982;;;;
Metastate_Q424;Камбоджа;Q867778;2;1.01.1979;2;1.01.1989;;;;
Metastate_Q424;Камбоджа;Q2785731;2;1.01.1982;2;1.01.1990;;;;
Metastate_Q424;Камбоджа;Q867778;2;1.01.1989;2;1.01.1993;;;;
Metastate_Q424;Камбоджа;Q2785731;2;1.01.1990;2;1.01.1993;;;;
Metastate_Q424;Камбоджа;Q424;2;1.01.1993;;по наст. время;;;;
Metastate_Q148;Китайская Народная Республика;Q7183;2;-1.01.221;2;-1.01.206;;;;
Metastate_Q148;Китайская Народная Республика;Q7209;2;-1.01.206;2;1.01.220;;;;
